,tweets,label
65,today   anxiety makes me fearful of trying to repair my bicycle   anxiety  mentalhealth,2
66,walking is good for relieving anxiety   walking  exercise  running  anxiety  psychology  mentalhealthawareness,0
67,not sure if this a real thing or ptsd but i have full on news anxiety i am not ignorant to news but cant cope with it,1
68,i want to die  i ll kill myself    anxiety,2
69,this episode is now also been republished to all podcast platforms   anxiety  mentalhealth  mentalhealthmatters,0
70,my monday morning blues not feeling it this morning woken up in a teasy mood but suns out no rain so hopefully ill be fine,1
71,my anxiety is creepin of course i cant handle snow but the rolling blackouts im not scared of the dark but then what,2
72,such a brilliant piece on loneliness during the covid    pandemic  together we can face the rising instances of lon,0
73,i can t sleep  i don t know what it is about sunday night  monday morning but it s usually when my brain won t shut,1
74,how can i even handle my thoughts filled with insecurities about myself   anxiety,2
75,lucky are those who are healthy at the moment so don t waste your time and health depression  alevels      cny,0
76,ours is a rare  generation that craves for  love yet love triggers  anxiety in us  we start  escapism to stay away,1
77,not in a good headspace right now  ever since covid  my memory is worse  my depression and anxiety are at an all time high,2
78,last year  we enlisted the help of our top  mentalhealth experts for  worldmentalhealthday  but mental health isn,0
79,did i just have a panic attack because my power went and im scared of the dark and my phone only had    yes  yes,1
80,i dont feel like living but i dont want to die  whats that called   mentalhealth  mentalhealthmatters,2
81,new blog   i just published positive mental health during covid    pandemic lockdown  part of   link,0
82,i am so tired and that is all   anxiety,1
83,i ve had anxiety and motion sickness basically my entire life and i ve tried every therapeutic thing that exists almost,2
84,are you concerned about your child s sudden separation  anxiety  panic attacks    ocd tendencies  read,0
85,i  apologized to him but told him    no  i think it would give me a lot of  anxiety  i m sorry you drove hours for this,1
86,totally gonna trip balls tomorrow  it will be my third one in a week  mushrooms help my  ptsd  anxiety  depression,2
87,"""people cannot hate themselves healthyand shame doesnt make anyone healthier "" catch up on my interview on the wo",0
88,it would be nice if my mind stopped screaming at me while i try to get my body in a comfortable resting position,1
89,depression sucks i wish there was an easier way out  whenimgoneimgone  tired  canttakeitnomore  anxiety  closingeveryoneout,2
90,prioritize your happiness  prioritize your health and wellbeing   health  wellbeing  healthcare  happy,0
91,i dont think teachers realize how bad they have caused my anxiety to get  i dont want to put all the blame on them,1
92,i feel so lonely  so i ll just end it    anxiety,2
93,no wonder i stay so  anxious sometimes  habits that make  anxiety worse,0
94,depression sucks balls  depression  mentalhealth  anxiety,1
95,i am struggling with  depression and  anxiety  not receiving any government benefits and surviving,2
96,what do you look for in love  think of three things  now give those things to yourself  that is love,0
97,everything i do is to make sure my family is happy but honestly i need to take care of myself   anxiety,1
98,i think i ll buy a gun  i ll kill myself    anxiety,2
99,skype therapist for  anxiety and  depression  contact me if you are looking for online psychotherapy  see,0
100,why do i keep biting my tongue and lip     it s so annoying   anxiety socialanxiety  mentalhealth  anxietydepression,1
101,you know what sucks  not being able to trust your own mental faculties  am i being paranoid  am i depressed  anxious,2
102,if you have connections to aged care homes  consider sharing this with them   ageing  agedcare  loneliness,0
103,physical touch has always bothered me  hugs  the idea of being entrapped by someone  terrifying  there is someone that actually likes that,1
104,i m so depressed tonight  i m really struggling and scared  depression  depressed  anxiety  suicidal  selfharm,2
105,"""god is looking to show his power and might on your behalf  child of god ""  encouragement  anxiety  chronicillness",0
106,to understand me  you must fully understand this post  i would never want anyone to feel like i do  i d never want that,1
107,insomnia is the actual worst  im perpetually in a state of being simultaneously wired and exhausted  i just want to sleep,2
108,how often do you discuss the emotional toll of the  climatecrisis with family or colleagues  register for our se,0
109,i just found out my doctor casually diagnosed me with  dysthymia without telling anything about it what so ever,1
110,im honestly just a ball of depression  stress  anxiety and sadness lately   anxiety  depression  notokay,2
111,you are not alone  about in people will suffer from anxiety related problems this year  though many will not t,0
112,after posting something risky  i know im in like group chats being made fun of   anxiety,1
113,does anyones anxiety ever cause their left side of chest to vibrate a lot  or left a scar,2
114,to those struggling right now put one foot in front of the other  move forward a bit at a time  progress is progre,0
115,i dont understand how i have the sunday scaries when im off on monday and work from home  presidentsday  sundayscaries  anxiety,1
116,i cant do it anymore   my depression is kicking my butt hard   depression  depressed  anxiety  suicidal  selfharm,2
117,could child s sleep problems be a sign of separation anxiety or adhd   anxiety  adhd  parenting  parentingadvice,0
118,why is it i ve woken up anxious down and feeling like shite   wish my head would take a fucking break     anxiety  depression  headfuck,1
119,i can t wait to get the hell out  i m going to hurt someone    anxiety,2
120,what mental health test is used for anxiety and depression   mentalhealth  anxiety  depression  health,0
121,whats with all this anxiety how can i control this   anxiety,1
122,i can t see any reason to keep going on  so i ll just end it    anxiety,2
123,if youre noticing that your symptoms of  anxiety  in association with covid    or otherwise  are causing you signi,0
124,when you have anxiety attack but anime attacks more   animiety attack  anime  anime  animetw  animeteen,1
125,when i didn t have a care in the world   if he only knew what was about to come   the abuse  the suicide attempts,2
126,separation anxiety and separation  anxiety disorder  how to deal with separation anxiety in children and toddlers,0
127,start my job tomorrow  its my old job  but im still nervous  wondering if i made a mistake of taking it back after lockdown,1
128,i think i ll buy a gun  so i ll just end it    anxiety,2
129,[redacted] reminds us that we are not the voice in our head and provides tools to quiet its chatter and help us,0
130,i spend so much of my time  worrying and feeling scared about so much  im still doing the online  cbt,1
131,my therapist is out of town this week and i wont have anyone to talk to  i dont know what im going to do,2
132,hi all  [redacted] and i are running this account and we are excited to be sharing information and resources about anxiet,0
133,who else cant sleep  insomnia  anxiety,1
134,first meal of the day  i enjoyed it very much   anxiety levels high  so  anorexia rears its head  everyday is a challenge,2
135,signs and symptoms of anxiety  mental health foundation   anxiety  feelinganxious,0
136,i had a few  since deleted  meltdowns on facebook today  i hate this  i hate that i dont cope better   mentalhealth  anxiety  ocpd,1
137,but what if anxiety killed me one day      anxiety  mentalillness,2
138,"""decide how you use your resources ""   dr  [redacted] what you learned as a child may be creating  anxiety about",0
139,gonna start tweeting some of my intrusive anxious and depressed sad girl thoughts lol maybe someone will think its relatable  anxiety,1
140,my anxiety gets so so so bad on sunday nights  i really struggle   anxiety  anxietythoughts,2
141,fears about  covid   can take an emotional toll but youre not powerless  [redacted]  rn  cpen  discusses how,0
142,people with depression arent lazy  people with anxiety arent rude  people with suicidal thoughts arent attention seekers,1
143,people with symptoms of generalized  anxiety disorder tend to always expect disaster and can t stop worrying about things,2
144,at rivers of hope counseling  we are firm believers in having hope for the future and powering through the pain of,0
145,ahhhhhh triggered on a sunday night lovely  ocd  anxiety  ihatemylife  fml,1
146,i just had this thought right now  i think everyone hates me no matter what  mentalhealthmatters  depression,2
147,in   president [redacted] signed the community mental health act  the first federal law to encourage commu,0
148,that would be my ideal  my  anxiety means i rarely enjoy any social interaction  im constantly on edge  i only feel happy occasionally,1
149,i feel so lonely  i m going to hurt someone    anxiety,2
150,looking for an easily accessible  bite sized tool to help you through a stressful situation  give  boxbreathing a t,0
151,having another episode   i just want it to stop  ffuuuck  just make it stop   borderlinepersonalitydisorder,1
152,im going to be honest  and no one will see it  so who cares  i am struggling rn in school in [redacted],2
153,these last months have pushed many of us well beyond the outer perimeters of our own comfort zones  find your wa,0
154,a study surveying more than [redacted] workers indicated that  workplace  bullying may affect up to million workers,1
155,i perfectly know what mental emotional stress  depression is its the worst feeling ever its very consuming  damn,2
156,skype counseling therapy for the treatment of  anxiety   depression without medications  contact me if you are str,0
157,anxiety is a bitch when your train is delayed  people dont understand the inner turmoil one experiences  anxiety  latetrain,1
158,not in a good mood   depression  anxiety  headache,2
159,[redacted] and [redacted] explain  howto relieve  anxiety during the,0
160,ive been super preoccupied with food lately  which is annoying  but whats even worse is when youre fixated on food,1
161,diseases i have severe high bp  depression severe  anxiety severe  bpd  bipolardisorder severe  nightmares problem,2
162,online psychotherapist for help with  agoraphobia  see   anxiety  panicattacks,0
163,today was a hard day  feelings of emptiness  frustration and loneliness yet i m surrounded by family  it s a weird feeling,1
164,i think i m just a bother to everyone  i ll kill myself    anxiety,2
165,starting in minutes  mindfulness in   i will be interviewing [redacted] live at am est  we will be talki,0
166,"""it is not ok for kids to be alone in their room all day  it is not ok to neglect personal hygiene  it is a downhill trend",1
167,anxiety  im happy but i still think about suicide  mentalhealth  motherhood,2
168,too bad were not vulcans  the myth of mind over matter and why we must start understanding the power of emotion,0
169,anxiety and panic attacks through the roof today   this week       throwback to being on a smartie tube,1
170,life update my dads funeral is in days  had to move hours away from all my family and girlfriend  and currently living alone,2
171,know the signs of anxiety attack  anxiety  mentalhealth,0
172,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  my other self screaming internally  anxiety  helplol,1
173,i fear im not good enough i constantly need reassurance i second guess myself i close parts of myself off,2
174,an awesome resource for people interested in healing depression and anxiety  at minutes in we do a live  aedp th,0
175,heart is hitting hard breath is getting heavy can t keep my hand steady can t keep my shit together can t take a deep breath,1
176,feel like i m being watched     notalone  anxiety  microphone,2
177,anxiety can be unpredictable and can happen at any time  but there are things you can do to  manage it  find out,0
178,why does my brain have a million thoughts a second constantly   anxiety,1
179,i can t see any reason to keep going on  i m going to hurt someone    anxiety,2
180,cbd is a safe  natural treatment for many common ailments and illnesses  contact the healing cauldron for advice o,0
181,i wish i d known this when i was yrs old  it would have saved me so many years  totally wasted in a battle against anxiety,1
182,reading everything happening in this country  has made me very depressed since yesterday  am really really worried,2
183,the recent changes for us all may mean youre feeling more anxious than usual  visit  everymindmatters to learn mor,0
184,this is my  anxiety nightmare,1
185,another sleepless night  anxiety  insomnia,2
186,decrease stress  reduce anxiety and depression  improve your thinking skills  solid science shows that all it takes,0
187,were on day of rain  okay  maybe thats an exaggeration but the endless rain plus my anxiety and depression,1
188,my reality is slowly slipping away from me   depression really is a sadist   fml  anxiety  blah,2
189,you don t have to fight your battles alone  psychiatry  mentalhealth  mentalhealthawareness  anxiety  psychologist,0
190,something those who do not suffer from  anxiety will never understand about those who do is the crippling power it has,1
191,why is it affecting me  trying to breathe good  but i feel so cloudy  i dont want to think  oh im going to faint,2
192,some times we see ourselves fall and we feel like we have to standing but when we take a moment to lean on each oth,0
193,true confession  what to do with the dust jacket on hardcover books that im reading causes me way more anxiety than it should,1
194,i have this dream regularly too  for me  i think its a sign of anxiety about something i feel under,2
195,why verbal abuse is so painful   what every parent should know via  emotionalhealth  anxiety,0
196,when you get over the  anxiety  you discover you should have been mad a long time ago,1
197,i dont know why i m having such a hard decision on weather i should call  crisis or not  guess i dont want to be a failure,2
198,focused mind power is one of the strongest forces on earth  mentalhealth  mentalillness  mentaldisorder,0
199,interesting how many people dont think anxiety as something to do with mental health   mentalillness,1
200,at least once a day i google  am i having a heart attack or is this anxiety  so far  ive been lucky,2
201,mondaythoughts survive mondays with cbd  you wont be disappointed   mondayvibes  cbd  happythoughts  chronicpain,0
202,since being diagnosed with cancer ive dealt with anxiety and depression before  changed drinking habits,1
203,its been awhile since i felt like this  i m kinda scared  nobody cares nobody to talk to  dont want to be a burden,2
204,does your highly sensitive child anger easily  do their angry outbursts seem to come out of nowhere  are you at a l,0
205,at some stages of your life you will deal with things and at others you are overwhelmed with  misery and  anxiety,1
206,i can t handle  anxiety i need help  canucks,2
207,i have had the time of my life and i owe it all to you   cbd  cbdoils  cbdoil,0
208,i don t trust you because you don t trust yourself   blah blah blah i am sick of listening this kind of comment,1
209,might have to call crisis tonight  not doing well at all  kinda scared   anxious  anxiety  depressed  suicidal  depression,2
210,hour rain on the rooftop for relaxing  study  meditation  sleeping problems   meditation,0
211,bringing a baby into the world is anxiety inducing even at the best of times  read more,1
212,my heart feels like it s beating far too fast  my mind is telling me i m going to die   anxiety  anxietyattack,2
213,skype therapy for anxiety and depression  learn more about how skype therapy can help you better manage  anxiety an,0
214,i get beyond tense whenever i have to leave the house its getting bad guys  lol  anxiety,1
215,the panic attack seriously made me feel pain in my chest  oddly breathing and feeling sorta cloudy  should i be worried,2
216,hi [redacted]  by any chance  do you have the icall list of crowdsourced therapists  asking for self,0
217,hi  my name is [redacted]  and my social anxiety is so intense i don t buy cameos because i feel like i m an inconvenience,1
218,i used to live inside my head because the real world was too overwhelming   adhd  teamadhd  comorbidities  anxiety,2
219,how yall keep your  anxiety under control  once i stop smoking my mind goes into overdrive,0
220,you gotta be built for ny and i for dam sure am not  anxiety,1
221,welp my depression is kicking again   anxiety too  life  anxiety  depression,2
222,am est reminder  you are ok  you are safe  don t panic   anxiety  calm  panic,0
223,school tmr lol  stressed  anxiety  hoteltrivago,1
224,i can t wait to get the hell out  so i ll just end it    anxiety,2
225,don t let  anxiety stop you from your dreams   mondaythoughts  mondaymorning  motivationalquotes  quoteoftheday,0
226,anxiety can feel terrible  it can be very disruptive  it can knock you down and try to keep you there,1
227,well  i have found out that bpd is not my only diagnosis  i am also bipolar with an anxiety disorder  anxiety disorders are bad,2
228,hey  [redacted] nearly missed you  just getting ready to see a client  all ready for some  talkingtherapies  so much,0
229,"had a ""  panic attack morning"" and decided to look through twitter  i felt surprisingly better  yeah  thanks",1
230,every time i have shifts at work i always get panic attacks the night before  im not getting used to it,2
231,for    alwayshere  oneistoomany  ptsd  suicideawareness  depression  anxiety day of any time  any where,0
232,we re constantly harassed by two little words  what if   worry  anxiety,1
233,and im left feeling  abandoned and so completely  alone i dont understand how my family can t be aware of my situation,2
234,good morning  there s a space here just for you  all my best   author of you re strong  smart  and y,0
235,woke up emotionally feeling like this bedraggled dunnart  i m still  mentally  drying off  but it s getting better,1
236,may be  someday i ll say i ve completely recovered   anxiety,2
237,art therapy boxes  a little pick me up   mentalhealth  anxiety  etsy,0
238,no matter the activity  big or small  important or mundane  i ve never felt accomplished  i never get that high of happiness,1
239,adults are depressed or anxious due to covid     health  depression  anxiety,2
240,bright within the darkness  when you feel so disconnected but your self worth is on the rise  your edges are undefi,0
241,anxiety is good for nothing if we can t turn it into a defense,1
242,i think i m just a bother to everyone  so i ll just end it    anxiety,2
243,see a therapist online for  anxiety and  depression  i offer mindfulness therapy  which is especially effective for,0
244,i m having one of those days where  for no visible reason  my  anxiety is making me feel uneasy,1
245,anxiety is robbing me of my  pregnancy  i cant stop worrying that everything will go has already gone wrong,2
246,find the courage to accept what you cannot change in life   anxiety  mentalhealth,0
247,the problem with  anxiety is that it s illogical  you can be having a great day  with no problems in terms of finance and you may still feel very anxious,1
248,anyone else s anxiety soaring this weekend  struggling the last few days  lockdown is the worst by far,2
249,need help with anxiety  book a free completely confidential call  anxiety  anxietyrelief,0
250,the [redacted] case her therapist described her to be anxious not suicidal,1
251,i have no reason to live  i ll kill myself    anxiety,2
252,give everything time     it truly is the master of all things      depression  leadership  love  goal  life,0
253,if i can manage my  anxiety  the  bipolar is a piece of cake,1
254,i want to die  so i ll just end it    anxiety,2
255,[redacted] teaches mindfulness and meditation  masterclass  offici    via  destress  anxiety,0
256,having a proper dark and twisty kind of a day   yay   depresion  anxiety  feelingsad,1
257,sometimes i just want to give up  kill me  anxiety,2
258,play is essential to your mental health and happiness  build some play into your day  how to get a depression re,0
259,nobody loves you till youre dead thats when they might care,1
260,i have no reason to live  i m going to hurt someone    anxiety,2
261,postpartum mood and anxiety disorders to watch out for  mentalhealth  anxiety  motherhood,0
262,recovering from a bout of severe dehydration  it s a fine balance between my body  my illnesses  and my medications,1
263,i feel so lonely  i ll kill myself    anxiety  depression,2
264,join us       am tomorrow for our lockdown elevensies  well be discussing all things relating to  stress,0
265,i hate the snow so much  am i working tomorrow or what  who is to say    anxiety  depression,1
266,when i get to turns into i have to  anxiety  brainfog,2
267,dont forget our  parentsupportgroup is tomorrow   email  mhstparentsupport onmicrosoft com to book your pla,0
268,sunday kind of ends after pm   anxiety,1
269,i dont enjoy making chicken for my family bc i always think im poisoning them   paranoia  phobia  anxiety,2
270,steps to loving  trusting  and letting go  mondaymotivation  mondaythoughts,0
271,already bored of being awake   sadness  defeat  depression  somber  work  live  anxiety  overthinking  adulting  lost,1
272,i hate my life  i just want to end it,2
273,have a nice week ahead,0
274,praying everything goes well for this half of the year of  brokeness once again using my  anxiety as  superpower,1
275,genuinely dont think life is made for me  i can t get a job  i have no money  when i do have money i gamble it  i am an absolute mess,2
276,things i learnt travelling with anxiety   anxiety  mhbloggers,0
277,"have a painting bc im having a bad time dealing with anxiety ""winters night""   hrs on krita all in dry brush",1
278,i have intense anxiety and need someone to hold me   anxiety,2
279,our free online support session start next tuesday  rd february at pm  if your anxiety is impacting on your,0
280,the anxiety of  x  is so f   ing annoying anxiety  depression  mentalhealth  pain,1
281,i want to die  i m going to hurt someone    anxiety,2
282,thanks to for an amazing audio lecture on how  anxiety shapes people s lives and can generate various types of side effects,0
283,getting an appointment to receive my first dose of the  covid  vaccine next weekend has been an excellent  anxiety,1
284,reaching the end of my rope     pandemic  lockdown  depression  anxiety  exhausted,2
285,need to reduce emotional shock  try the four thumps  body based techniques like this help us come back into our bod,0
286,sitting watching and i m now hearing  anxious therefore  anxiety mentioned in the,1
287,its really been a terrible week for me with my anxiety   feels more like depression at the moment  the lockdown does not help,2
288,recommended monkey mind and the mountain book for  worries and  anxiety  delighted about this  adults benefit,0
289,i feel like im walking a tightrope right now  could fall either way  too loud  too busy  too tense   ptsd  anxiety,1
290,life is garbage  we should all just die   anixety,2
291,our free online support session start next tuesday  rd february at pm  if your anxiety is impacting on your health  do attend,0
292,new live in landlord seems to have a severe  anxiety disorder  ad   i never appreciated how exhausting dealing wit,1
293,i hate waking up  i just want to end it,2
294,the wellbeing project  special edition via  mentalhealth  mentalhealthawareness  anxiety  selfcare,0
295,be my  friend  lockdown  anxiety  depression      year  valentinesday      valentinesday  valentines,1
296,i might commit  suicide today lol,2
297,[redacted] coloring book for relaxation  amazon  stress free patterns  mandala  yoga,0
298,the fire that rages from within my rib cage is weakening the bones that should make me strong  the feeling creeps fear,1
299,socialmedia  anxiety is a real thing  i wanna die,2
300,how successful people beat stress  ability  stressmanagement  emotions  anxiety  empower,0
301,today i m anxious about driving    anxiety  anxietybot,1
302,every night i dread having to sleep every night i pressure myself into the same routine to cope with the constant anxiety,2
303,looking for a way to shake off the inner critic and ward off  anxiety   rapid  transformational  therapy can help,0
304,good morning all  resources for your grief journey  loveneverdies  loss  death  grief,1
305,just leave me behind i can t go any farther you ll find someone else it doesn t really matter there s nothing left,2
306,has published a guide on face mask  anxiety  here you can find practical tips on how to cope with it,0
307,swalwells  thumbtwiddling  anxiety or  boredom,1
308,when youre so crippled by depression you cant even be bothered to kill yourself  depression  longcovid  anxiety  pandemic  darkhumor,2
309,have a look at this excellent free e book  how to stay calm in a global pandemic   which is useful for those struggling,0
310,put a finger down when you wake up on a sunday morning  full of anxiety  because the world is upside down      anxiety,1
311,i know it sounds daft but having lived with  mentalhealth  depression for yrs i recognise im struggling,2
312,retweet to those who really needs to see this message today   depression  mentalhealth,0
313,the stages of crossing the veil of death  mentalhealthawareness  mentalhealth,1
314,a few years ago  i reached a point where my anxiety about an upcoming presentation became an issue  i would get nervous for the smallest of things,2
315,think this needs to change and so do i   suicideprevention  suicidal  mentalhealth  depression,0
316,check out this brand new release  it s about a little mouse with serious anxiety issues  perfect for your  little ones,1
317,"Part of me wants to see this continue to grow, but also part wonders if it was a mistake surviving? Idc if ppl kn",2
318,ocd is pointless  get your self help guide to  recovery from  ocd and  anxiety today  dm now to order one,0
319,"well the massive anxiety anger attack from last night seems to have put my brain into ""pissed off about everything""",1
320,StinkingThinking are  pesky  negativethoughts that tell us were not good enough or this person meant to hurt u,2
321,throughout your day  things can get overwhelming  a simple exercise to center your mind  thoughts and energy is to,0
322,its     am  and i am still awake what in the f ing fuck       bpd  mentalhealth  anxiety,1
323,Ive written a poetry collection which follows my struggles with  mentalhealth and offers advice to tho,2
324,what do you want to throw away today  see our blog post here for more   anxiety  depressed,0
325,the pandemic has made us restrict our lifestyle leading to  stress  anxiety  depression find small things to look for,1
326,"Even you are at home, you'll face unsafety, life is sad and hurtful, I wanna end me",2
327,daily grief message    grief  loss  griefjourney  griefsupport  love,0
328,worry is like a rocking chair  it gives you something to do  but it doesnt get you anywhere  [redacted],1
329,Mental health in the [redacted] continues to create cause for concern as Covid-19 lingers. Many companies have made efforts,2
330,what do you want to throw away today  see our blog post here for more   anxiety  sad,0
331,i have to live with it  i have to  anxiety,1
332,"What would you do if your pastor committed suicide? My friend [redacted] and his church went it, and his",2
333,you got this  it s just another monday   wishitwassunday  mondaymood  monday  mondayvibes  mondayagain  takeiteasy,0
334,"my life as a piece of string  ""untitled still life""           ponderings     poem",1
335,I was diagnosed with depression in Oct. Not doing really well or anything,2
336,if you are struggling with mental health or worried about someone else the [redacted] mental health helpline can help,0
337,i think this quote sums up everything nicely  anxiety  impeachment  gop  life  lotr,1
338,My bipolar disorder is getting out of hand,2
339,your field guide to body language  anxiety  bodylanguage  emotions  manifestation,0
340,many are competing to receive the ignorance i have already achieved   trending  quotes  motivational  quote,1
341,I've been struggling too this last couple of weeks,2
342,real depression is when you stop loving the things you love talk to us   when we start listening  you start healing,0
343,i can no longer fit in these genes that have been handed down   trending  quotes  motivational  quote,1
344,Just like the  veterans who so desperately need help with their  healthcare &amp;  mentalhealth the  PTSD,2
345,get help for  anxiety and panic attacks from an online psychotherapist via skype  see,0
346,when you ve got  anxiety and apparently the only way to not explode is to chew and tear apart your own fingers,1
347,[redacted] teams up with the [redacted] on Mental Illness  mentalhealth,2
348,heres why hyperventilating is bad and how you can breathe to avoid anxiety   breathe  anxiety  hyperventilation,0
349,lord i love you  anxiety,1
350,So the trauma referral I made back in November was sent through but turned down /11/2020 because of lockdown. The,2
351,if you are someone who manages their anxiety  what advice would you give your younger self to help them out when they are anxious,0
352,please stop labelling and deluding yourselves that someones cheerful demeanour during hard times is a sign of mental well being,1
353,"Millions of people around the world struggle silently with  anxiety,  fear,  isolation, &amp;  depression, lacking acce",2
354,"""i just wanted to send a big thank you for your help and guidance through a difficult time in my life  the counselling helped",0
355,living with  anxiety is not easy  working with it  even worse,1
356,"I've started a new site where I will write about mental health, surviving s suicide attempt, living as a schizophre",2
357,using  mindfulness to overcome  anxiety and  depression  read more about mindfulness therapy in this very popular age,0
358,covid positive patients would never be told that  anxiety over the  pandemic is to blame for the virus,1
359,When I have noticed a friend may probably have psy problems but Im not dare to reach out,2
360,feeling  stressed  expert says these foods may help   anxiety  stress  mondaymotivation,0
361,"agreed     what does  creativity ""really"" mean exactly    life  death  fear  anxiety  depression  pain",1
362,We further find the  mentalhealth  suicide link was stronger among  LGBTQ persons.,2
363,"someone with anxiety disorder will never get tired of hearing you say  ""i m here for you""  ""i love you""  ""i care for you""",0
364,me  mom  i accidentally opened another packed of cheese  mom  you are an accident     prone child  me  oh thank god,1
365,"They rarely last more than an hour, with most ending within to minutes. Panic attacks can happen anywhere and anytime",2
366,[redacted] healing meditation for health anxiety and general anxiety  [redacted] healing meditation for health,0
367,anyone else feeling depressed  lets talk   depression  insomnia  anxiety  life,1
368,We find that  psychology mediation framework applies to pathway from  sexual  victimization to  suicide risk via blaming it on the victim,2
369,starting the week off right with some monday morning positive tea  make sure to focus on the things that matter,0
